,Facility Name,Site Address,Facility Type,Last Inspection Date,url,category
19,Satellite Restaurant (Kent) Ltd.,145 King St W  Chatham ON N7M 1E4,Restaurant,27-Mar-2024,location.href = '/Facility/Details/3802f84d-756b-4bd0-aed0-a396442ac6b2' ,Food Premisis
20,Saxony Motel - Restaurant,521 Grand Avenue  Chatham ON N7L 3Z2,Restaurant,27-Oct-2023,location.href = '/Facility/Details/adf410e1-6781-49c4-b6d0-eaef14e008f7' ,Food Premisis
21,Schinkels' Gourmet Meats,145 Richmond Street  Chatham ON N7M 1P1,Butcher Shop/Retail Licensed Meat Plant,20-Mar-2024,location.href = '/Facility/Details/4067ae47-4e2f-44b3-9d95-8e838eddbd9c' ,Food Premisis
22,Scouts Canada - Camp Cataraqui - Kitchen,18750 Clearville Rd  Murkirk ON N0P 1X0,Recreational Camps-Food,17-Oct-2023,location.href = '/Facility/Details/a8510525-0675-486a-99cc-19f3658c83fd' ,Food Premisis
23,Serenity Blenheim Independent Living - Food,84 Marlborough St N  Blenheim ON N0P 1A0,LTC Retirement Home - Food,23-Nov-2023,location.href = '/Facility/Details/631281f7-c76b-45c9-93de-7c8cc487f7bf' ,Food Premisis
24,Serious Supplements,103 King Street West  Chatham Ontario N7L 2B9,Food Store/Food Sales (Convenience/Variety),26-Sep-2023,location.href = '/Facility/Details/8455809d-b98c-4935-bd8b-7732eab25041' ,Food Premisis
0,Shady Pine Family Restaurant,9464 Longwoods Road  Chatham ON N7M 5J1,Restaurant,13-Dec-2023,location.href = '/Facility/Details/1570d43e-99cf-4ca4-906b-c3a2eb9d8bdd' ,Food Premisis
1,Shaya Convenience,9397 Longwoods Rd  Chatham ON N7M 5J1,Food Store/Food Sales (Convenience/Variety),02-Apr-2024,location.href = '/Facility/Details/2b3d7c4c-d8ca-43cc-8fad-fdba0dc91c2e' ,Food Premisis
2,Shell Gas Bar,1119 Dufferin Avenue  Wallaceburg ON N8A 2W2,Food Store/Food Sales (Convenience/Variety),28-Mar-2024,location.href = '/Facility/Details/00b12f35-384d-46ee-badd-77fed67cc534' ,Food Premisis
3,Shoppers Drug Mart,420 Queen Street  Chatham ON N7M 2J2,Supermarket,30-Oct-2023,location.href = '/Facility/Details/aa52393f-5e1c-498e-b59b-8039199a8dd8' ,Food Premisis
4,Shoppers Drug Mart,30 McNaughton Ave  Wallaceburg ON N8A 1R9,Supermarket,21-Jul-2022,location.href = '/Facility/Details/d6072fd5-b90b-4fb6-8051-63a390f5fd1d' ,Food Premisis
5,Shoppers Drug Mart,21 Chatham Street N  Blenheim ON N0P 1A0,Supermarket,16-Aug-2023,location.href = '/Facility/Details/56dceecb-ae39-443e-97db-66c3f6386f21' ,Food Premisis
6,Shoppers Drug Mart,22 Main St W  Ridgetown ON N0P 2C0,Prepackaged/Non-Hazardous Food Sales,12-Jan-2024,location.href = '/Facility/Details/d64d9878-05e2-4a23-8793-b2a48a85396b' ,Food Premisis
7,Shoppers Drug Mart,416 St. Clair Street  Chatham ON N7L 3K5,Food Store/Food Sales (Convenience/Variety),12-Mar-2024,location.href = '/Facility/Details/715b2a7d-f6d3-42a8-8dda-2dba89d24fd8' ,Food Premisis
8,Shoppers Drug Mart,20 Mill St W  Tilbury ON N0P 2L0,Food Store/Food Sales (Convenience/Variety),27-Nov-2023,location.href = '/Facility/Details/42537632-a874-4888-8ab2-4036f4c81df7' ,Food Premisis
9,Shoppers Drug Mart,485 Grand Avenue W  Chatham ON N7L 1C5,Food Store/Food Sales (Convenience/Variety),22-Feb-2024,location.href = '/Facility/Details/2d5a1606-3e0f-4046-86f5-3c2f0defebc0' ,Food Premisis
10,Shrewsbury & Raglan Community Centre,112 New Scotland Line  Shrewsbury ON N0P 1A0,Banquet Facility/Public Hall,25-Jul-2019,location.href = '/Facility/Details/9373ec78-83c1-4198-90c2-0338904ff08e' ,Food Premisis
11,Sisters' Twisters,13135 Longwoods Road  Thamesville N0P 2K0 ON,Mobile Food Premises,24-May-2019,location.href = '/Facility/Details/67d9e4d3-c6b7-4504-9529-f0a11677e2cd' ,Food Premisis
12,Sitara Indian Cuisine,63 McNaughton Ave  Wallaceburg ON N8A 1R9,Mobile Food Premises,21-Jul-2023,location.href = '/Facility/Details/aa45e717-e217-43dd-9379-b640104f9b60' ,Food Premisis
13,Ska:na Family Learning Centre - Chatham - Food,25 Eighth Street  Chatham ON N7M 4J4,Child Care - Food,15-Nov-2023,location.href = '/Facility/Details/2da77bce-5748-473e-a8f1-53bc244fc461' ,Food Premisis
14,Ska:na Family Learning Centre- Wallaceburg - Food,1531 Dufferin Ave  Wallaceburg ON N8A 2W8,Child Care - Food,19-Dec-2023,location.href = '/Facility/Details/dc2e5b62-1c6c-4191-b4e8-67305aaae8a8' ,Food Premisis
15,Skinny's Bar,162 164 King Street West  Chatham Ontario N7M 1E3,Cocktail Bar/Beverage Room,04-Oct-2023,location.href = '/Facility/Details/f0b9bc52-a158-4e1b-b683-bacb6245781c' ,Food Premisis
16,Smitty's Restaurant,305 Grand Ave W  Chatham ON N7L 1C3,Restaurant,11-Jan-2024,location.href = '/Facility/Details/2a0500c4-dc15-4401-af3b-7c3bfe063858' ,Food Premisis
17,Snack & Go,191 Keil Dr  Chatham ON N7M 5J5,Food Store/Food Sales (Convenience/Variety),04-Jan-2024,location.href = '/Facility/Details/1418aade-5b8f-4774-a0ca-31f4a1661df8' ,Food Premisis
18,Soaring Eagle Retirement Living,479 Hughes Street  Dresden ON N0P 1M0,LTC Retirement Home - Food,20-Dec-2023,location.href = '/Facility/Details/bfb118a9-326d-434a-8181-af17d6ba588c' ,Food Premisis
19,Sobeys,20210 Communication Road  Blenheim ON N0P 1A0,Supermarket,29-Nov-2023,location.href = '/Facility/Details/90f0d031-5dca-457a-bd4b-146f69a02a64' ,Food Premisis
20,Sobeys,215 Park Avenue W  Chatham ON N7M 6L6,Supermarket,15-Dec-2023,location.href = '/Facility/Details/7c0f63c7-783c-48eb-8f93-d53b97132293' ,Food Premisis
21,Soccer Field Canteen,356 Lark Street  Chatham Ontario N7L 1G8,Food Take Out,07-Jul-2023,location.href = '/Facility/Details/fbda03aa-0536-46c3-9624-0553abe08925' ,Food Premisis
22,Sonny's Variety,140 Lindsley Street W  Dresden ON N0P 1M0,Food Store/Food Sales (Convenience/Variety),08-Apr-2024,location.href = '/Facility/Details/539d3110-acfe-45c0-b8b4-d83353d87ee9' ,Food Premisis
23,Sons of Kent,27 Adelaide St. South  Chatham Ontario N7M 4P9,Restaurant,07-Dec-2023,location.href = '/Facility/Details/384d296b-0159-404e-af25-769ac2aaea80' ,Food Premisis
24,Southside Tap & Grille,936 Charing Cross Road  Chatham ON N7M 5K4,Restaurant,21-Dec-2023,location.href = '/Facility/Details/009e78ce-f8bf-4bc7-afa6-9ea019c9059b' ,Food Premisis
0,Spanky's,182 King Street W  Chatham ON N7M 1E3,Cocktail Bar/Beverage Room,20-Nov-2020,location.href = '/Facility/Details/d8bad6e0-185f-4c81-97bf-4fbd4daa6aaf' ,Food Premisis
1,Speed D Mart,504 Bloomfield Rd  Chatham ON N7M 5J5,Food Store/Food Sales (Convenience/Variety),25-Jul-2023,location.href = '/Facility/Details/6e5e3aea-cd8b-4aa6-9604-048f544ce90d' ,Food Premisis
2,Spice & Curry,49 Keil Drive S  Chatham ON N7M 3G7,Restaurant,19-Jan-2024,location.href = '/Facility/Details/83d87430-9033-4748-8f2e-940cde52f6a4' ,Food Premisis
3,Spirit and Life Centre,184 Wellington Street W  Chatham ON,Banquet Facility/Public Hall,03-Aug-2023,location.href = '/Facility/Details/fec83a32-32fe-4caa-9240-c36675cee822' ,Food Premisis
4,SportChek,653 Grand Ave West  Chatham ON N7L 1C5,Food Store/Food Sales (Convenience/Variety),12-Mar-2024,location.href = '/Facility/Details/bcab9de9-4cd1-4b7a-a36a-dc784e3fea6c' ,Food Premisis
5,Sprucedale United Church,493 Victoria Ave  Chatham ON N7L 3B4,Banquet Facility/Public Hall,24-Nov-2023,location.href = '/Facility/Details/51b685f7-3648-4998-a1de-be9d7dc08f53' ,Food Premisis
6,St Andrew's Residence - Food,99 Park Street  Chatham ON N7M 3R5,LTC Nursing Home - Food,18-Apr-2024,location.href = '/Facility/Details/8b11f6eb-556f-4556-b7f1-1d6e2ae688cc' ,Food Premisis
7,St Mary's Hall,94 George Sreet  Blenheim ON N0P 1A0,Banquet Facility/Public Hall,25-Oct-2019,location.href = '/Facility/Details/671cd749-5098-4fbc-91bb-8edfcdad06fa' ,Food Premisis
8,St Paul's Congregational Church,450 Park Ave W  Chatham ON N7M 1X2,Banquet Facility/Public Hall,25-Mar-2024,location.href = '/Facility/Details/24097784-25ef-4d5a-ad26-f345fd6c9a6a' ,Food Premisis
9,St. Agnes Catholic School,55 Croyden Avenue  Chatham ON N7L 1L5,School Nourishment Program,14-May-2019,location.href = '/Facility/Details/788946ec-b384-464e-a255-bd5d588ee7c4' ,Food Premisis
10,St. Agnes Roman Catholic Church,52 Croydon Street  Chatham ON N7L 1L3,Hunger Relief Agency/Soup Kitchen/Meal Centre/Food Kitchen,14-Dec-2023,location.href = '/Facility/Details/03e3cdfc-7113-4a55-a14d-a9fcd4108aaa' ,Food Premisis
11,St. Andrew's United Church,85 William Street S  Chatham ON N7M 4S5,Hunger Relief Agency/Soup Kitchen/Meal Centre/Food Kitchen,22-Nov-2023,location.href = '/Facility/Details/c1d09aaf-47fa-4dad-80a4-11c6bc7a4db3' ,Food Premisis
12,St. Angela's Meadow Retirement Lodge,20 Merici Way  Chatham ON N7L 3B6,LTC Retirement Home - Food,27-Nov-2023,location.href = '/Facility/Details/96482cba-14e7-49e1-8b84-3882489b625e' ,Food Premisis
13,St. Anne Catholic School,183 Snow Ave  Blenheim ON N0P 1A0,School Nourishment Program,25-Apr-2019,location.href = '/Facility/Details/4b06e53b-49cd-4b5a-a9c9-ab8645415b95' ,Food Premisis
14,St. Clair College Thames Students INC. Food Operations,1001 Grand Ave. W  Chatham ON N7M 5W4,Cafeteria,09-Apr-2024,location.href = '/Facility/Details/5cfee2f4-a814-443a-af6f-f578eeab4ceb' ,Food Premisis
15,St. Elizabeth Catholic School,1350 Bertha Ave  Wallaceburg ON N8A 3K4,School Nourishment Program,24-Apr-2019,location.href = '/Facility/Details/c31e05ed-29fd-4aff-8eb3-95d2576ca051' ,Food Premisis
16,St. Joseph Catholic School,25 Raleigh St  Chatham ON N7L 2M6,School Nourishment Program,01-May-2019,location.href = '/Facility/Details/eaf8c6dc-87a3-480c-a56e-47b93fa7b1f3' ,Food Premisis
17,St. Joseph Catholic School,43 St. Clair St  Tilbury ON N0P 2L0,School Nourishment Program,10-May-2019,location.href = '/Facility/Details/f3c55cb6-29b8-4782-9b54-11cfd4ba96c5' ,Food Premisis
18,St. Michael Catholic School,25 Maple St  Ridgetown ON N0P 2C0,School Nourishment Program,15-May-2019,location.href = '/Facility/Details/9dfc919b-f635-4c6e-acbb-186b57692831' ,Food Premisis
19,St. Michael's Parish Hall,26 George St  Ridgetown ON N0P 2C0,Banquet Facility/Public Hall,21-Feb-2024,location.href = '/Facility/Details/ff2e3119-ac01-45b1-8df3-de89b170c36d' ,Food Premisis
20,St. Ursula Catholic School,426 Lacroix St  Chatham ON N7M 2W3,School Nourishment Program,28-May-2019,location.href = '/Facility/Details/2629164f-8ca4-4aea-b91a-5d41e436bfdc' ,Food Premisis
21,St. Ursula Church,205 Tweedsmuir Avenue WE  Chatham ON N7M 5N8,Hunger Relief Agency/Soup Kitchen/Meal Centre/Food Kitchen,18-Mar-2024,location.href = '/Facility/Details/17850b9e-6ed7-4c7e-a6aa-693b7eab3b30' ,Food Premisis
22,Stacked Pancake and Breakfast House,1-818 St  Clair Street Chatham Ontario N7L 0E8,Restaurant,12-Jan-2024,location.href = '/Facility/Details/a4e33732-26d9-4f32-941c-54fba5c18184' ,Food Premisis
23,Starbucks,806 St. Clair St.  Chatham Ontario N7M 5J7,Restaurant,08-Jan-2024,location.href = '/Facility/Details/78b08aaf-3b3a-4cc3-b134-93504c77a3b4' ,Food Premisis
24,Starbucks,515 Grand Avenue West  Chatham ON N7L 1C5,Restaurant,05-Jan-2024,location.href = '/Facility/Details/f645fae3-2b9c-45de-ba1e-f78170ebaf6d' ,Food Premisis
0,Stephen's II Restaurant,15 Talbot Street W  Blenheim ON N0P 1A0,Restaurant,10-Apr-2024,location.href = '/Facility/Details/ce2f4edb-8107-444c-bd51-e615ae6891dc' ,Food Premisis
1,Steve's Pizzeria,4-455 Grand Ave  Chatham ON N7L 1X4,Restaurant,25-Oct-2023,location.href = '/Facility/Details/b6889c94-c497-41c2-8bc6-6fd2c7928de0' ,Food Premisis
2,Stone Throwers Café,"56 Creek  Rd, Chatham ON N7M 5J3",Cafeteria,27-Mar-2024,location.href = '/Facility/Details/2429b726-5041-45bb-8497-54272e663856' ,Food Premisis
3,Subway,447 St Clair Street  Chatham ON N7L 3K6,Restaurant,08-Mar-2024,location.href = '/Facility/Details/6c2d87bb-de10-4c8e-a19d-53463a5a9d1a' ,Food Premisis
4,Subway,438 St George St S  Dresden ON N0P 1M0,Restaurant,03-Jan-2024,location.href = '/Facility/Details/b42c6e8d-26f2-4a8f-8e76-476c2a7d1011' ,Food Premisis
5,Subway,170 Talbot Street W  Blenheim ON N0P 1A0,Restaurant,12-Jan-2024,location.href = '/Facility/Details/672d3c96-dfec-411a-ace2-34973cd099c3' ,Food Premisis
6,Subway,30 McNaughton Ave  Wallaceburg ON N8A 1R9,Restaurant,29-Aug-2023,location.href = '/Facility/Details/8828833d-fb8e-4878-982c-0b7b7b026dc6' ,Food Premisis
7,Subway,10 Erie St S  Ridgetown ON N0P 2C0,Food Take Out,06-Feb-2024,location.href = '/Facility/Details/2926a0cd-f31d-4656-bd18-72aaeffb15f4' ,Food Premisis
8,Subway,1-455 Grand Avenue East  Chatham ON N7L 1X4,Restaurant,29-Jan-2024,location.href = '/Facility/Details/0ebcf553-eb57-407b-99a3-8929daae6983' ,Food Premisis
9,Subway,80 Grand Ave W  CKHA -Cafeteria Chatham Ontario N7L 1B7,Food Take Out,21-Nov-2023,location.href = '/Facility/Details/efec2d5d-0e56-4a2c-8f7b-8a24f7a05897' ,Food Premisis
10,Subway,90 Queen Street NO  Tilbury ON N0P 2L0,Restaurant,17-Nov-2023,location.href = '/Facility/Details/f5f9f1de-2e4b-44dd-9fa2-e158794789c5' ,Food Premisis
11,Subway,75 Keil Drive S  Chatham ON N7M 3G9,Restaurant,17-Jan-2024,location.href = '/Facility/Details/2240aab7-7d3a-45db-9357-d4785e005efc' ,Food Premisis
12,Subway,380 Queen Street  Chatham ON N7M 2H6,Restaurant,02-Oct-2023,location.href = '/Facility/Details/fd9a6e3d-bcb1-4e8c-ac18-c8c577bc239b' ,Food Premisis
13,Sue's Kitchen,205 James St  Wallaceburg ON N8A 2N4,Food Take Out,29-Feb-2024,location.href = '/Facility/Details/523b3b98-3d25-4527-909e-f0f032d34765' ,Food Premisis
14,Sugar Rush Confections,4527 Bowers Line  Merlin ON N0P 1W0,Bakery,10-Feb-2022,location.href = '/Facility/Details/728c4483-62a5-4985-b58d-46ce097e9ae1' ,Food Premisis
15,Sugared Spoon 2,87 London Rd  Thamesville ON N0P 2K0,Food Take Out,04-Apr-2024,location.href = '/Facility/Details/46ccb735-5df9-4ab5-b212-98c98d99f467' ,Food Premisis
16,Super Amigo Mexican Groceries,771 St. Clair St.  Chatham ON N7L 0E9,Food Store/Food Sales (Convenience/Variety),04-Jan-2024,location.href = '/Facility/Details/f7f17d42-ecba-4c09-b153-129150f6bb16' ,Food Premisis
17,SWAC under John McGregor Secondary School,1001 Grand Avenue W  Chatham ON N7M 5W4,School Nourishment Program,05-Jun-2019,location.href = '/Facility/Details/fac91455-5dc7-47a9-a3cb-067072f06f1a' ,Food Premisis
18,SWAC under Ursuline College Chatham,1001 Grand Ave W  Chatham ON N7M 5W4,School Nourishment Program,04-Jun-2019,location.href = '/Facility/Details/995d72c7-37b0-4230-ae3f-fc793c2f37f8' ,Food Premisis
19,Sweet Cravings by Esther,21427 Campbell Rd  Wheatley ON N0P 2P0,Bakery,14-Dec-2023,location.href = '/Facility/Details/2a181061-19d5-481a-acf6-4e6f8f53d6c5' ,Food Premisis
20,Sweet C's Cookie Creations,260 King Street W  Chatham ON N7M 1E7,Bakery,27-Mar-2024,location.href = '/Facility/Details/76d1176e-291d-4ac7-9c6b-1ee822b1b3b3' ,Food Premisis
21,Sydenham Community Curling Club,7379 North River Line  Wallaceburg ON N9A 2Y0,Restaurant,08-Feb-2024,location.href = '/Facility/Details/db7f6d97-0daf-4737-b5b5-f56d3182c333' ,Food Premisis
22,Taco Bell,328 St. Clair Street  Chatham ON N7L 3K5,Restaurant,17-Nov-2023,location.href = '/Facility/Details/76bfafca-40ff-49ba-b1d9-f50115cfee29' ,Food Premisis
23,Taco Bell Express,1644 Dufferin Avenue  Wallaceburg ON N8A 2X2,Food Take Out,24-Nov-2023,location.href = '/Facility/Details/dcc4bc64-b702-48f8-8988-0ee4f4c2ac3d' ,Food Premisis
24,Taj Variety,187 King Street E  Chatham ON N7M 3N1,Food Store/Food Sales (Convenience/Variety),25-Jul-2022,location.href = '/Facility/Details/1974cc9b-f03a-411e-aa78-187f14170852' ,Food Premisis
0,Talbot Trail Golf Club,790 Talbot Trail  Wheatley ON N0P 2P0,Restaurant,18-Apr-2024,location.href = '/Facility/Details/8eef38e9-0db0-4020-a6fd-b2848c82d2ea' ,Food Premisis
1,Tammy's Kitchen,759 Wellington Street  Dresden ON N0P 1M0,Cafeteria,07-Dec-2023,location.href = '/Facility/Details/93344186-2e2f-46c5-ba77-57589508a8de' ,Food Premisis
2,Taste,105 King Street West  Chatham Ontario N7M 1E2,Restaurant,21-Feb-2024,location.href = '/Facility/Details/125a0479-0db7-4a4b-9427-f544c8844d9c' ,Food Premisis
3,Tasty Lunch,79 King Street W  Chatham ON N7M 1C7,Restaurant,21-Feb-2024,location.href = '/Facility/Details/95a4381e-effa-44dc-8daf-7ee07ef1d0ed' ,Food Premisis
4,Taylor's Convenience Store,1644 Dufferin Ave  Wallaceburg ON N8A 2X2,Food Store/Food Sales (Convenience/Variety),13-Jun-2023,location.href = '/Facility/Details/3fda6104-213b-444c-86df-cfa9e3b65302' ,Food Premisis
5,Tea Connection,15 King Street E  Chatham ON N7M 3M6,Food Store/Food Sales (Convenience/Variety),23-Aug-2023,location.href = '/Facility/Details/e47b5b84-ee32-4ce9-b0a3-95cacd12a6e8' ,Food Premisis
6,Tecumseh Public School,287 McNaughton Avenue W  Chatham ON N7L 1R8,School Nourishment Program,29-Mar-2019,location.href = '/Facility/Details/b2c8447f-910f-4049-8eb4-afe0625a1bbd' ,Food Premisis
7,Teena Family Restaurant,506 Bloomfield Road  Chatham ON N7M 5J5,Restaurant,14-Mar-2024,location.href = '/Facility/Details/47c729e7-0623-40a2-a996-7df2cc68e1a7' ,Food Premisis
8,Thames Campus Arena,1001 Grand Ave W  Chatham ON N7M 5W4,Food Take Out,06-Dec-2018,location.href = '/Facility/Details/f10049ab-87de-4e59-91f6-56a78a1a126f' ,Food Premisis
9,Thamesville and Area Early Learning Centre - Food,90 Graham St  Thamesville ON N0P 2K0,Child Care - Food,27-Mar-2024,location.href = '/Facility/Details/431deb5b-d304-4c75-a63e-7d4822fca66a' ,Food Premisis
10,Thamesville Area Public School,30 Mary St  Thamesville ON N0P 2K0,School Nourishment Program,03-May-2019,location.href = '/Facility/Details/1fef8872-cfdb-40a4-95b6-63f202c58f61' ,Food Premisis
11,Thamesville Happy Club,96 London Road  Thamesville ON N0P 2K0,Banquet Facility/Public Hall,01-Dec-2023,location.href = '/Facility/Details/d37bbcdd-c3ee-41cd-8628-267d995c5bc9' ,Food Premisis
12,Thamesville Sertoma Club,104 Railroad Street  Thamesville Ontario N0P 2K0,Food Caterer,21-Nov-2023,location.href = '/Facility/Details/fac43c39-1a39-401a-a52c-616faed53748' ,Food Premisis
13,Thamesville Surplus,100 London Road  Thamesville ON N0P 2K0,Food Store/Food Sales (Convenience/Variety),28-Aug-2023,location.href = '/Facility/Details/0593bf3b-ad4e-49f5-bc57-826295782f02' ,Food Premisis
14,Thamesville United Church,107 Elizabeth Street  Thamesville ON N0P 2K0,Banquet Facility/Public Hall,16-Nov-2023,location.href = '/Facility/Details/27f574b2-8b9d-4355-86a9-5e04e475d75a' ,Food Premisis
15,That's One Cute Cookie,29 Mango Lane  Blenheim ON N0P 1A0,Bakery,11-Dec-2023,location.href = '/Facility/Details/23183ab5-071c-4773-acb5-ded2d0e2fcb4' ,Food Premisis
16,The Alley Pub & Grill,4 Young St  Tilbury ON N0P 2L0,Restaurant,15-Dec-2023,location.href = '/Facility/Details/9f34cc87-dae6-4041-be45-3ce59a9e91ba' ,Food Premisis
17,The Bargain Shop,50 Main Street W  Ridgetown ON N0P 2C0,Prepackaged/Non-Hazardous Food Sales,02-Jan-2024,location.href = '/Facility/Details/b2abf811-84da-4444-b95e-499159d706d0' ,Food Premisis
18,The Bargain Shop,2 Canal Street WE  Tilbury ON N0P 2L0,Food Store/Food Sales (Convenience/Variety),22-Nov-2023,location.href = '/Facility/Details/7b1557f4-1d8a-46f8-9e3b-af7b62fa6f21' ,Food Premisis
19,The Bay Grind,6 Main St  Dover Centre ON N0P 1L0,Mobile Food Premises,12-Jun-2023,location.href = '/Facility/Details/5a92a5b1-3f41-4e29-baf3-8668d86c5294' ,Food Premisis
20,The Black Goose Grill,525 James Street  Wallaceburg ON N8A 2P1,Restaurant,29-Feb-2024,location.href = '/Facility/Details/e69cf386-d0a9-4d0a-87fd-662021b02fba' ,Food Premisis
21,The Bottled Grape,8-45 James Street  Blenheim ON N0P 1A0,Brew Your Own Beer/Wine,20-Oct-2023,location.href = '/Facility/Details/59cfd3b0-0c2a-4ac3-82fe-2cc1f9a37c3d' ,Food Premisis
22,The Canadian Dollar Store,38 Main Street E  Ridgetown ON N0P 2C0,Prepackaged/Non-Hazardous Food Sales,03-Jan-2024,location.href = '/Facility/Details/b68c8c8a-b07b-403b-b60b-054d890de961' ,Food Premisis
23,The Car Barn,23 Talbot Rd E  Wheatley ON N0P 2P0,Restaurant,23-Jun-2021,location.href = '/Facility/Details/302d62c1-eeff-4599-a36d-9f6efbd64a3a' ,Food Premisis
24,The Charcuterie Shop,91 Taylor Trail  Chatham ON N7L 5N2,Food Take Out,20-Sep-2023,location.href = '/Facility/Details/0b21ada9-a4f4-42cf-ab72-0773299b2f2c' ,Food Premisis
0,The Chip Co.,1251 North Street  Dresden ON N0P 1M0,Mobile Food Premises,19-Jul-2023,location.href = '/Facility/Details/f70bf628-ca3f-4a8e-bf51-830256b274ed' ,Food Premisis
1,The Cottage Cafe,889 Mariners Road  Erieau ON N0P 1N0,Food Take Out,25-Jul-2023,location.href = '/Facility/Details/246edfdb-08cc-4a99-80f1-e300aff12390' ,Food Premisis
2,The Family Centre - St Elizabeth - Food,1350 Bertha Avenue  Wallaceburg ON N8A 3K4,Child Care - Food,18-Mar-2024,location.href = '/Facility/Details/aae41ee1-b89c-4e2c-aa65-7f6ac0a4980a' ,Food Premisis
3,The Family Centre - University Site - Food,150 University Avenue  Wallaceburg ON N8A 3Z8,Child Care - Food,25-Mar-2024,location.href = '/Facility/Details/c65a6257-820e-4db9-8d79-757ee79916b1' ,Food Premisis
4,The Family Store,32 Queens St  Tilbury ON N0P 2L0,Food Store/Food Sales (Convenience/Variety),16-Jan-2024,location.href = '/Facility/Details/dbe2a228-de09-4f70-8492-780305e35769' ,Food Premisis
5,The Garage,3 Stanley Ave  Merlin ON N0P 1W0,Restaurant,14-Dec-2023,location.href = '/Facility/Details/01e6f2ce-1a82-4884-953c-c51d35a4beb5' ,Food Premisis
6,The Gathering Place Christian Church,66 Main St W  Ridgetown ON N0P 2C0,Banquet Facility/Public Hall,07-Jun-2023,location.href = '/Facility/Details/18f1a078-9e28-4b7d-bb42-976637f908b7' ,Food Premisis
7,The Gurkha Lounge,250 National Rd  Chatham ON N7M 5J5,Restaurant,08-Mar-2024,location.href = '/Facility/Details/8807278d-39c8-44bf-9484-91969998df24' ,Food Premisis
8,The Jazzbah,270 King Street West W  Chatham ON N7M 1E7,Restaurant,11-Dec-2023,location.href = '/Facility/Details/31a8b059-0112-48b3-a34a-faf2985c5d3b' ,Food Premisis
9,The Kent,124 William St S  Chatham ON N7M 4S1,Banquet Facility/Public Hall,19-Jul-2023,location.href = '/Facility/Details/71e0f68a-84e6-4f7b-a0f4-da364c30445f' ,Food Premisis
10,The Lincoln Grille,71 Queen St N  Tilbury ON N0P 2L0,Restaurant,18-Apr-2024,location.href = '/Facility/Details/46699ea2-7c3e-4265-a8c2-f4db6e6f0f52' ,Food Premisis
11,The Links of Kent,120 Indian Creek W  Chatham ON N7M 5J5,Restaurant,05-Dec-2023,location.href = '/Facility/Details/252cbf04-7bf6-4d89-b8dd-dac8a57a1700' ,Food Premisis
12,The Maples Retirement Home,555 Bloomfield Rd  Chatham N7M 5J5,LTC Retirement Home - Food,14-Dec-2023,location.href = '/Facility/Details/146ea8bd-aaa5-461f-b17b-0e5a6cee9c3b' ,Food Premisis
13,The Meadows of Wheatley - Food,21205 Pier Rd  Wheatley ON N0P 2P0,LTC Retirement Home - Food,16-Apr-2024,location.href = '/Facility/Details/83b13ae8-d3f4-451a-885f-7f722bf00598' ,Food Premisis
14,The Movie Den,74 London Rd  Thamesville ON N0P 2K0,Food Store/Food Sales (Convenience/Variety),07-Jul-2023,location.href = '/Facility/Details/9b714ca8-2467-47d8-8f77-ffe65f1a7d5a' ,Food Premisis
15,The Old Czech Hall,116 St John St E  Dresden ON N0P 1M0,Banquet Facility/Public Hall,10-Oct-2023,location.href = '/Facility/Details/19cd2861-d5b1-49af-bee5-cc60c6433853' ,Food Premisis
16,The Pickled Nurse,41 Hedge Maple Path  Chatham ON N7L 5G1,Commercial Kitchen/Commissary,26-Oct-2023,location.href = '/Facility/Details/fe590d96-1750-46e3-ac21-a6884f314fee' ,Food Premisis
17,The Pit Crew Café,B-21006 Charing Cross Rd  Charing Cross ON N0P 1G0,Restaurant,,location.href = '/Facility/Details/4e02c99c-2863-4b0e-a537-0eba022d53c1' ,Food Premisis
18,The Rustic Ranch,11369 Longwoods Road  Chatham-Kent ON N0P 2K0,Banquet Facility/Public Hall,08-May-2023,location.href = '/Facility/Details/cff3b451-8384-43cc-8d71-c3670c3d78d1' ,Food Premisis
19,The Salvation Army - Ridgetown,18 Main St  Ridgetown ON N0P 2C0,Food Bank/Donated Food,04-Apr-2024,location.href = '/Facility/Details/6b2ea5e9-54cc-4f6c-a5d5-97ce3caea0bf' ,Food Premisis
20,The Salvation Army Family & Community Services,19 Raleigh St  Chatham ON N7M 2M6,Food Bank/Donated Food,03-Nov-2023,location.href = '/Facility/Details/f0691df8-fb9e-4edc-96da-6e035b5e9e0e' ,Food Premisis
21,The Sol Kitchen Pantry,211 Lawrence Ave  Wallaceburg N8A 2B1,Food Take Out,30-Nov-2023,location.href = '/Facility/Details/14e64bd8-5552-4583-8b4e-116e615ed7a0' ,Food Premisis
22,The Stubby Goat,153 Nelson Street  Wallaceburg Ontario N8A 4G2,Restaurant,29-Feb-2024,location.href = '/Facility/Details/e0ba9ad0-c36d-4808-9413-c0385c87a9cc' ,Food Premisis
23,The Sugar Shack,1645 Dufferin Ave  Wallaceburg ON N8A 2X1,Ice Cream / Yogurt Vendor,30-Aug-2023,location.href = '/Facility/Details/43c997e4-1aba-4a4d-8b1b-1531d4bfc311' ,Food Premisis
24,The Sugared Spoon,454 St George St S  Dresden ON N0P 1M0,Food Take Out,13-Mar-2024,location.href = '/Facility/Details/6986f323-d5fb-4ca5-bc2a-7cea70585cff' ,Food Premisis
